date,position,driver_number
2024-07-28 13:42:39.220000+00:00,7,11
2024-07-28 13:42:39.220000+00:00,8,55
2024-07-28 13:42:55.587000+00:00,11,3
2024-07-28 13:42:55.587000+00:00,10,31
2024-07-28 13:42:57.208000+00:00,12,3
2024-07-28 13:42:57.208000+00:00,11,14
2024-07-28 13:42:59.473000+00:00,13,3
2024-07-28 13:42:59.473000+00:00,12,10
2024-07-28 13:43:10.450000+00:00,16,2
2024-07-28 13:43:10.450000+00:00,17,27
2024-07-28 13:43:11.029000+00:00,17,20
2024-07-28 13:43:11.029000+00:00,18,27
2024-07-28 13:43:12.537000+00:00,18,22
2024-07-28 13:43:12.537000+00:00,19,27
2024-07-28 13:44:28.488000+00:00,8,11
2024-07-28 13:44:28.488000+00:00,7,55
2024-07-28 13:44:50.102000+00:00,14,3
2024-07-28 13:44:50.102000+00:00,13,77
2024-07-28 13:44:52.083000+00:00,15,3
2024-07-28 13:44:52.083000+00:00,14,18
2024-07-28 13:45:01.309000+00:00,17,2
2024-07-28 13:45:01.309000+00:00,16,3
2024-07-28 13:45:01.309000+00:00,15,20
2024-07-28 13:45:03.849000+00:00,16,2
2024-07-28 13:45:03.849000+00:00,17,3
2024-07-28 13:46:34.593000+00:00,10,23
2024-07-28 13:46:34.593000+00:00,9,31
2024-07-28 13:46:37.154000+00:00,10,14
2024-07-28 13:46:37.154000+00:00,11,23
2024-07-28 13:46:52.408000+00:00,17,2
2024-07-28 13:46:52.408000+00:00,16,3
2024-07-28 13:48:28.636000+00:00,11,10
2024-07-28 13:48:28.636000+00:00,12,23
2024-07-28 13:48:29.768000+00:00,13,23
2024-07-28 13:48:29.768000+00:00,12,77
2024-07-28 13:48:31.392000+00:00,13,18
2024-07-28 13:48:31.392000+00:00,14,23
2024-07-28 13:48:39.829000+00:00,14,20
2024-07-28 13:48:39.829000+00:00,15,23
2024-07-28 13:48:40.813000+00:00,15,3
2024-07-28 13:48:40.813000+00:00,16,23
2024-07-28 13:48:46.556000+00:00,18,2
2024-07-28 13:48:46.556000+00:00,17,22
2024-07-28 13:48:50.366000+00:00,19,2
2024-07-28 13:48:50.366000+00:00,18,27
2024-07-28 13:49:41.764000+00:00,3,16
2024-07-28 13:49:41.764000+00:00,2,81
2024-07-28 13:51:33.924000+00:00,4,16
2024-07-28 13:51:33.924000+00:00,3,63
2024-07-28 13:51:35.796000+00:00,4,1
2024-07-28 13:51:35.796000+00:00,5,16
2024-07-28 13:51:36.714000+00:00,5,4
2024-07-28 13:51:36.714000+00:00,6,16
2024-07-28 13:51:40.778000+00:00,7,16
2024-07-28 13:51:40.778000+00:00,6,55
2024-07-28 13:52:17.438000+00:00,14,3
2024-07-28 13:52:17.438000+00:00,15,20
2024-07-28 13:53:16.282000+00:00,2,44
2024-07-28 13:53:16.282000+00:00,1,81
2024-07-28 13:53:21.568000+00:00,3,44
2024-07-28 13:53:21.568000+00:00,2,63
2024-07-28 13:53:23.094000+00:00,3,1
2024-07-28 13:53:23.094000+00:00,4,44
2024-07-28 13:53:24.180000+00:00,4,4
2024-07-28 13:53:24.180000+00:00,5,44
2024-07-28 13:53:29.077000+00:00,6,44
2024-07-28 13:53:29.077000+00:00,5,55
2024-07-28 13:54:07.652000+00:00,16,20
2024-07-28 13:54:07.652000+00:00,15,23
2024-07-28 13:55:11.762000+00:00,4,1
2024-07-28 13:55:11.762000+00:00,3,4
2024-07-28 13:55:17.526000+00:00,5,44
2024-07-28 13:55:17.526000+00:00,6,55
2024-07-28 13:55:19.789000+00:00,6,16
2024-07-28 13:55:19.789000+00:00,7,55
2024-07-28 13:55:47.893000+00:00,12,10
2024-07-28 13:55:47.893000+00:00,11,77
2024-07-28 13:55:49.482000+00:00,13,10
2024-07-28 13:55:49.482000+00:00,12,18
2024-07-28 13:57:04.977000+00:00,5,1
2024-07-28 13:57:04.977000+00:00,4,44
2024-07-28 13:57:07.290000+00:00,6,1
2024-07-28 13:57:07.290000+00:00,5,16
2024-07-28 13:57:14.494000+00:00,7,1
2024-07-28 13:57:14.494000+00:00,6,11
2024-07-28 13:57:14.494000+00:00,8,55
2024-07-28 13:57:43.154000+00:00,13,3
2024-07-28 13:57:43.154000+00:00,14,10
2024-07-28 13:57:44.939000+00:00,15,10
2024-07-28 13:57:44.939000+00:00,14,23
2024-07-28 13:57:46.544000+00:00,16,10
2024-07-28 13:57:46.544000+00:00,15,20
2024-07-28 13:57:52.483000+00:00,17,10
2024-07-28 13:57:52.483000+00:00,16,22
2024-07-28 13:58:51.905000+00:00,4,4
2024-07-28 13:58:51.905000+00:00,3,44
2024-07-28 13:58:54.549000+00:00,5,4
2024-07-28 13:58:54.549000+00:00,4,16
2024-07-28 13:59:02.287000+00:00,5,1
2024-07-28 13:59:02.287000+00:00,6,4
2024-07-28 13:59:02.287000+00:00,7,11
2024-07-28 13:59:03.418000+00:00,7,4
2024-07-28 13:59:03.418000+00:00,6,11
2024-07-28 13:59:40.382000+00:00,16,10
2024-07-28 13:59:40.382000+00:00,17,22
2024-07-28 14:00:32.037000+00:00,1,63
2024-07-28 14:00:32.037000+00:00,2,81
2024-07-28 14:00:39.129000+00:00,2,44
2024-07-28 14:00:39.129000+00:00,3,81
2024-07-28 14:00:41.617000+00:00,3,16
2024-07-28 14:00:41.617000+00:00,4,81
2024-07-28 14:00:49.583000+00:00,6,4
2024-07-28 14:00:49.583000+00:00,7,11
2024-07-28 14:01:09.980000+00:00,9,14
2024-07-28 14:01:09.980000+00:00,10,31
2024-07-28 14:01:14.890000+00:00,11,31
2024-07-28 14:01:14.890000+00:00,10,77
2024-07-28 14:01:16.300000+00:00,11,18
2024-07-28 14:01:16.300000+00:00,12,31
2024-07-28 14:01:19.673000+00:00,12,3
2024-07-28 14:01:19.673000+00:00,13,31
2024-07-28 14:01:21.146000+00:00,13,23
2024-07-28 14:01:21.146000+00:00,14,31
2024-07-28 14:03:08.637000+00:00,14,23
2024-07-28 14:03:08.637000+00:00,13,31
2024-07-28 14:08:32.580000+00:00,10,18
2024-07-28 14:08:32.580000+00:00,11,77
2024-07-28 14:08:33.225000+00:00,11,3
2024-07-28 14:08:33.225000+00:00,12,77
2024-07-28 14:08:33.676000+00:00,12,31
2024-07-28 14:08:33.676000+00:00,13,77
2024-07-28 14:08:34.952000+00:00,13,23
2024-07-28 14:08:34.952000+00:00,14,77
2024-07-28 14:09:38.826000+00:00,4,16
2024-07-28 14:09:38.826000+00:00,3,81
2024-07-28 14:10:27.107000+00:00,14,20
2024-07-28 14:10:27.107000+00:00,15,77
2024-07-28 14:10:28.676000+00:00,15,10
2024-07-28 14:10:28.676000+00:00,16,77
2024-07-28 14:10:36.999000+00:00,16,22
2024-07-28 14:10:36.999000+00:00,17,77
2024-07-28 14:12:09.356000+00:00,10,3
2024-07-28 14:12:09.356000+00:00,11,18
2024-07-28 14:12:24.699000+00:00,17,22
2024-07-28 14:12:24.699000+00:00,16,77
2024-07-28 14:13:59.180000+00:00,12,18
2024-07-28 14:13:59.180000+00:00,11,31
2024-07-28 14:15:15.209000+00:00,8,11
2024-07-28 14:15:15.209000+00:00,7,55
2024-07-28 14:19:21.160000+00:00,11,3
2024-07-28 14:19:21.160000+00:00,10,31
2024-07-28 14:19:30.282000+00:00,14,10
2024-07-28 14:19:30.282000+00:00,15,20
